#user = 999;hotel = 42;user_groups = 30;groups = 5;attack_groups = [3 8];
sparse	error		label
0.3		0.067680	ALM_0
0.3		0.344463	RPCA_0
0.3		2.860942	SVD_0
0.3		0.142391	ALM_100
0.3		0.351474	RPCA_100
0.3		2.410431	SVD_100
0.3		0.179486	ALM_200
0.3		0.362168	RPCA_200
0.3		2.358071	SVD_200
0.3		0.203998	ALM_300
0.3		0.377694	RPCA_300
0.3		2.440609	SVD_300

0.4		0.082860	ALM_0
0.4		0.421848	RPCA_0
0.4		3.397532	SVD_0
0.4		0.177907	ALM_100
0.4		0.460168	RPCA_100
0.4		3.044080 	SVD_100
0.4		0.223545	ALM_200
0.4		0.500475	RPCA_200
0.4		2.963381	SVD_200
0.4		0.256227	ALM_300
0.4		0.552627	RPCA_300
0.4		3.102077	SVD_300

0.5		0.103034	ALM_0
0.5		0.676190	RPCA_0
0.5		3.889208	SVD_0
0.5		0.220758	ALM_100
0.5		0.772006	RPCA_100
0.5		3.533322 	SVD_100
0.5		0.276891	ALM_200
0.5		0.873507	RPCA_200
0.5		3.519101	SVD_200
0.5		0.317217	ALM_300
0.5		0.983024	RPCA_300
0.5		3.826320	SVD_300

0.6		0.127235	ALM_0
0.6		1.434059	RPCA_0
0.6		4.366756	SVD_0
0.6		0.275372	ALM_100
0.6		1.670330	RPCA_100
0.6		4.032905 	SVD_100
0.6		0.343824	ALM_200
0.6		1.950270	RPCA_200
0.6		4.059860	SVD_200
0.6		0.398737	ALM_300
0.6		2.271373	RPCA_300
0.6		4.315315	SVD_300

0.7		0.193017 	ALM_0
0.7		7.820412 	RPCA_0
0.7		4.876713 	SVD_0
0.7		0.408063 	ALM_100
0.7		9.678818 	RPCA_100
0.7		4.606128  	SVD_100
0.7		0.516167 	ALM_200
0.7		11.387519	RPCA_200
0.7		4.625712 	SVD_200
0.7		0.604562 	ALM_300
0.7		12.950092	RPCA_300
0.7		4.833728 	SVD_300

0.8		0.397950 	ALM_0
0.8		23.891036	RPCA_0
0.8		5.360674 	SVD_0
0.8		0.797300 	ALM_100
0.8		25.054356	RPCA_100
0.8		5.195112  	SVD_100
0.8		0.945327 	ALM_200
0.8		26.033446	RPCA_200
0.8		5.157006 	SVD_200
0.8		1.117684 	ALM_300
0.8		26.871734	RPCA_300
0.8		5.377479 	SVD_300
